visit_id,member_id,branch,check_in_time,check_out_time
4fe10c07,714ff072,Tunis Lake,2024-07-06 11:41:00,2024-07-06 13:29:00
c83115b2,c537e3db,tunis lake,2023-03-25 12:21:00,2023-03-25 12:54:00
1d8cfaf2,43923c32,Bizerte Port,2024-05-15 18:38:00,2024-05-15 19:08:00
bcc77aa8,28d6a0f5,tunis lake,2025-03-15 07:28:00,2025-03-15 08:45:00
b3b62f63,c4ce9d0c,Nabeul Plage,2024-08-13 14:58:00,2024-08-13 15:40:00
733ebb79,1af6c837,Nabeul Plage,2025-08-10 19:06:00,2025-08-10 20:59:00
5e2f7ae4,47518081,Tunis Lake,2024-06-26 07:54:00,2024-06-26 09:48:00
d66e64ad,26521b4b,Sousse Corniche,2023-06-27 11:29:00,2023-06-27 13:28:00
876cc8da,6428d3b8,Nabeul Plage,2023-01-24 14:18:00,2023-01-24 14:53:00
78899cbb,ce7849f4,Sfax_Center,2025-06-22 14:36:00,2025-06-22 16:18:00
6f32c215,bedc15ea,Tunis Lake,2023-05-28 12:45:00,2023-05-28 13:24:00
3787f9d4,b4b7bf5b,Sfax Center,2023-05-10 08:01:00,2023-05-10 09:16:00
1ef9daa4,481663da,Sfax Center,2023-11-24 16:35:00,2023-11-24 17:23:00
d5ccb48d,5d343d60,tunis lake,2024-09-28 12:48:00,2024-09-28 14:28:00
bdc97336,7f20c678,Sfax Center,2023-04-20 06:28:00,2023-04-20 07:32:00
94b4077f,704c9b43,tunis lake,2025-01-29 13:02:00,2025-01-29 13:44:00
45a550ab,464fa587,tunis lake,2025-03-22 13:48:00,2025-03-22 15:32:00
81e5057f,bb3835b9,Nabeul Plage,2025-10-15 09:39:00,2025-10-15 10:48:00
2080c8c3,105adfd0,tunis lake,2023-03-30 18:53:00,2023-03-30 19:24:00
6e3195b9,e02db279,tunis lake,2024-09-25 08:39:00,2024-09-25 10:09:00
d76ffc40,34a57396,Sousse Corniche,2025-07-28 07:12:00,2025-07-28 08:42:00
5bab0248,af9c4c58,Bizerte Port,2023-03-19 06:56:00,2023-03-19 07:28:00
43958198,f29ce7d9,Sousse Corniche,2025-06-17 06:29:00,2025-06-17 07:02:00
440bc783,e763653e,Nabeul Plage,2023-04-11 07:19:00,2023-04-11 08:53:00
b7cf49ff,b2fc2ac3,Sfax Center,2024-11-03 11:15:00,2024-11-03 12:34:00
abc4b927,96f30dc6,Bizerte Port,2025-02-04 13:34:00,2025-02-04 15:16:00
d3c0a30f,fc5f662a,Sousse,2022-07-10 20:35:00,2022-07-10 21:33:00
3b63faec,3b193cda,Sfax_Center,2023-02-11 15:58:00,2023-02-11 17:41:00
ee852193,430f4e9d,Sfax_Center,2022-06-11 13:10:00,2022-06-11 14:45:00
9a3f3b18,af9c4c58,Bizerte Port,2023-03-02 17:38:00,2023-03-02 18:09:00
d6614fe9,b674d1b3,Sousse Corniche,2025-01-11 07:04:00,2025-01-11 08:43:00
bdf8f9c1,662d0c7d,Sousse,2022-11-08 08:32:00,2022-11-08 09:54:00
25f40821,ec6a769b,Nabeul Plage,2024-07-01 07:13:00,2024-07-01 08:52:00
e76181ea,e763653e,Sfax_Center,2022-11-25 12:16:00,2022-11-25 13:48:00
4bd332f3,7e23bb2f,Sousse Corniche,2024-08-28 12:18:00,2024-08-28 13:32:00
58408a29,4828275d,Sfax_Center,2023-09-08 20:55:00,2023-09-08 22:43:00
fe6a19ad,44c8014d,Sousse,2023-07-01 16:10:00,2023-07-01 17:25:00
0fd1cc7c,b2a7980d,Sfax Center,2022-06-29 21:29:00,2022-06-29 23:13:00
fd5e34ea,26e8e627,Sfax Center,2024-08-02 08:35:00,2024-08-02 10:23:00
adcb5b58,7432771f,Nabeul,2023-11-13 15:09:00,2023-11-13 16:37:00
62389ac0,4f00cfb6,Nabeul Plage,2024-04-26 17:44:00,2024-04-26 18:58:00
734b973a,64a9e8ef,tunis lake,2023-05-24 09:57:00,2023-05-24 11:16:00
3d52d6e1,b2fc2ac3,tunis lake,2024-07-02 12:13:00,2024-07-02 14:05:00
82b16636,05263844,Sfax Center,2023-07-26 07:04:00,2023-07-26 08:03:00
78422898,55c0dc73,Tunis Lake,2022-12-14 14:52:00,2022-12-14 15:38:00
2847e8f0,47518081,Sfax_Center,2024-03-10 16:54:00,2024-03-10 17:41:00
d2cd8f77,f904ca11,Sfax Center,2022-07-28 15:12:00,2022-07-28 15:49:00
f0dc9baf,b3696ae1,Sfax_Center,2024-11-22 10:08:00,2024-11-22 10:43:00
78f8e4cb,04746c03,Sfax_Center,2025-01-25 16:00:00,2025-01-25 17:31:00
721ef8f1,9eec6fb1,Sousse Corniche,2025-02-03 19:54:00,2025-02-03 20:53:00
faa265f3,a19aff35,Nabeul,2023-06-02 19:39:00,2023-06-02 21:15:00
03a8d918,0db183e2,Bizerte Port,2024-05-16 07:57:00,2024-05-16 08:56:00
bc8ef83f,7f9aced9,Tunis Lake,2022-09-19 19:25:00,2022-09-19 20:58:00
9550af88,af9c4c58,Nabeul,2022-10-14 15:07:00,2022-10-14 16:23:30
5f957c4f,06b37106,Tunis Lake,2022-07-14 15:55:00,2022-07-14 17:05:30
3b57db41,7f054674,Sousse,2023-10-04 17:06:00,2023-10-04 18:33:00
7d669859,e60eee5e,Tunis Lake,2023-04-13 18:45:00,2023-04-13 19:47:00
9978f730,b132bbc1,Sfax_Center,2023-11-14 12:36:00,2023-11-14 13:39:00
c22ed1fb,966e2a16,Sousse,2023-11-30 12:52:00,2023-11-30 14:23:00
32180d2d,b357874e,tunis lake,2024-07-20 11:25:00,2024-07-20 12:42:00
c6e86a5f,6d3617c4,Tunis Lake,2023-11-22 14:17:00,2023-11-22 15:46:00
6b52e125,86412ddf,Sousse Corniche,2023-12-21 12:19:00,2023-12-21 13:06:00
f9e77cdf,ece0ad3a,Nabeul Plage,2022-12-30 10:19:00,2022-12-30 11:05:00
012f7bf4,7f054674,Sousse Corniche,2024-03-18 10:20:00,2024-03-18 11:39:00
8a0d5a1d,338aa7e6,Nabeul,2023-06-14 14:49:00,2023-06-14 16:47:00
cdab522e,bf486123,Bizerte Port,2022-12-09 07:59:00,2022-12-09 08:47:00
ef52c2f6,03d42852,Sfax_Center,2024-09-21 18:29:00,2024-09-21 19:40:00
cc4e5bf3,5f1e5ddc,Tunis Lake,2024-08-15 18:20:00,2024-08-15 20:09:00
500b87f6,6cd7c037,Sousse,2024-02-09 14:17:00,2024-02-09 15:06:00
51214cbd,86af74f3,Tunis Lake,2025-02-03 19:32:00,2025-02-03 20:59:00
ef2d4a8c,28d6a0f5,Bizerte Port,2025-04-04 10:21:00,2025-04-04 12:00:00
5028da25,5db360ff,Nabeul Plage,2023-08-12 13:02:00,2023-08-12 13:55:00
96b5d982,ec6a769b,Bizerte Port,2025-05-03 10:05:00,2025-05-03 12:03:00
0bd51479,095aeb35,Nabeul,2022-12-19 18:06:00,2022-12-19 19:43:00
dcebd615,682bd7dd,Tunis Lake,2025-04-30 07:19:00,2025-04-30 08:28:00
16a6355e,88f7c8f5,Nabeul Plage,2023-06-21 14:09:00,2023-06-21 15:42:00
658e415a,47518081,Nabeul Plage,2024-06-06 18:16:00,2024-06-06 19:17:00
d2489683,8915fba1,Bizerte Port,2025-06-25 11:48:00,2025-06-25 13:04:00
5024a04e,a399a0cb,Sousse,2024-04-11 17:21:00,2024-04-11 19:19:00
260733a3,575b43a8,Tunis Lake,2024-06-26 09:03:00,2024-06-26 08:33:00
7834a6dd,2d6a3c1b,Sousse Corniche,2022-11-23 20:42:00,2022-11-23 22:42:00
42cd322e,eb517e91,Nabeul Plage,2025-08-07 18:18:00,2025-08-07 19:40:00
bfb3f819,f2c9908b,Sousse Corniche,2023-05-18 09:08:00,2023-05-18 11:01:00
2a3cb6c9,1c90b1fd,Sousse Corniche,2025-04-16 09:55:00,2025-04-16 11:04:00
01a666bb,b2fc2ac3,Sfax_Center,2024-08-17 15:27:00,2024-08-17 17:06:00
da4cc8c0,dd49cdfe,Sfax Center,2025-08-08 21:14:00,2025-08-08 22:27:00
babde56c,18ab428a,Sfax Center,2023-09-13 13:53:00,2023-09-13 15:08:00
937d0f5c,4a83eb2c,Tunis Lake,2024-01-15 09:35:00,2024-01-15 11:09:00
7871ea4a,ffe39cef,Sousse Corniche,2023-01-26 20:21:00,2023-01-26 21:00:00
81c1a942,d77571ee,Bizerte Port,2022-08-29 06:43:00,2022-08-29 07:35:00
9d3b5329,dd0f61d9,Sfax Center,2023-07-24 13:54:00,2023-07-24 15:40:00
8b97cc0d,c6727525,Sfax_Center,2023-06-23 14:18:00,2023-06-23 15:04:00
4e1bbe59,fee79538,Sfax Center,2022-04-09 09:47:00,2022-04-09 10:29:00
b6b21b90,1e7be14d,Sousse,2024-07-17 16:38:00,2024-07-17 17:53:00
0eb444a2,d90985f3,Sfax Center,2024-04-17 09:35:00,2024-04-17 10:47:00
28bdfa71,1fd35ab1,Nabeul Plage,2023-03-26 20:36:00,2023-03-26 22:13:00
e9e321ed,8a7de32c,Nabeul,2023-07-23 10:01:00,2023-07-23 11:17:30
bf3fd43f,b3724660,Bizerte Port,2022-09-21 09:09:00,2022-09-21 10:58:00
eee4aa3b,9daa8b07,Sfax_Center,2025-03-09 19:30:00,2025-03-09 20:53:00
2dc44f30,51171447,Sousse Corniche,2024-02-26 18:04:00,2024-02-26 19:46:00
d31faea8,7e23bb2f,Sousse,2024-10-07 14:32:00,2024-10-07 15:49:00
dd43ba5a,20d78631,Nabeul Plage,2022-08-28 12:15:00,2022-08-28 13:30:00
06501b93,51171447,Sfax_Center,2024-07-06 13:17:00,2024-07-06 14:52:00
e80f4f4b,105adfd0,Tunis Lake,2023-07-12 10:41:00,2023-07-12 11:40:00
6b1e0612,018b77cd,Nabeul,2023-12-22 12:19:00,2023-12-22 13:34:00
370045ef,eb517e91,Sfax Center,2025-01-17 18:24:00,2025-01-17 19:39:00
275bc8fd,e6d8a2d2,Sousse,2022-12-08 20:55:00,2022-12-08 22:10:00
d5d18adf,9d7b9eb3,Nabeul Plage,2023-07-26 06:58:00,2023-07-26 08:54:00
958f5ec4,5e6edc93,Tunis Lake,2023-12-09 06:23:00,2023-12-09 07:03:00
c26a1b9e,0655286b,Bizerte Port,2023-01-06 08:24:00,2023-01-06 09:40:00
261ac116,861d8179,Sousse,2025-03-27 20:27:00,2025-03-27 21:18:00
89d9869a,a2ee361f,Bizerte Port,2023-06-16 17:59:00,2023-06-16 18:45:00
c53fa339,e944bbbc,Sousse,2024-01-22 08:33:00,2024-01-22 09:54:00
4b346c6f,78801906,Sfax_Center,2022-10-02 07:10:00,2022-10-02 08:40:00
099d8aa7,9f04a463,Nabeul Plage,2023-12-17 16:38:00,2023-12-17 18:28:00
ccf1c6b4,3d7b60d5,tunis lake,2025-02-14 18:11:00,2025-02-14 19:25:00
87a04fe8,66a8f232,Bizerte Port,2022-07-12 13:18:00,2022-07-12 13:52:00
fe3a330a,fee79538,Nabeul Plage,2022-07-30 14:54:00,2022-07-30 16:06:30
c96751af,f35b9216,Sousse,2024-07-29 08:09:00,2024-07-29 09:24:00
66aaea57,7478ca0a,tunis lake,2024-12-14 16:24:00,2024-12-14 17:34:00
13d5b1bc,ec6a769b,Sousse,2024-10-16 10:06:00,2024-10-16 12:03:00
ced5cdf6,2f933a01,Nabeul,2025-11-03 12:18:00,2025-11-03 13:25:00
48fcaa5c,a2ee361f,Bizerte Port,2023-07-30 13:24:00,2023-07-30 14:35:30
c7fc7ad2,20247787,Tunis Lake,2024-08-28 11:11:00,2024-08-28 13:00:00
179274ae,00d41ba1,Bizerte Port,2023-07-10 08:32:00,2023-07-10 09:23:00
696976ec,0ac63ef2,Sousse Corniche,2023-03-15 19:16:00,2023-03-15 21:07:00
272499ec,f45aca7c,tunis lake,2022-08-15 14:51:00,2022-08-15 15:53:00
da01c32b,cd31b9e6,Sousse,2022-06-22 16:38:00,2022-06-22 18:14:00
ec6e2d7b,dd1b7be4,Nabeul,2022-09-05 07:51:00,2022-09-05 09:36:00
cfec574d,58584a73,Nabeul,2023-09-10 10:32:00,2023-09-10 12:32:00
313dc5bb,22aef91c,Tunis Lake,2022-09-25 06:53:00,2022-09-25 08:00:00
c10de66e,9ee7a985,Nabeul Plage,2023-08-09 16:52:00,2023-08-09 18:20:00
d87619b8,b4b7bf5b,Tunis Lake,2023-07-10 13:29:00,2023-07-10 15:16:00
098627a8,3b193cda,Bizerte Port,2022-11-10 17:03:00,2022-11-10 19:03:00
406e887d,095aeb35,Nabeul Plage,2022-03-13 10:58:00,2022-03-13 11:36:00
943e187a,b6d34f13,Sfax_Center,2025-01-05 08:33:00,2025-01-05 09:05:00
b303301b,0655286b,Sousse,2022-09-08 17:18:00,2022-09-08 18:00:00
a73901fa,6f57ea7b,Sousse Corniche,2023-08-25 16:16:00,2023-08-25 17:25:00
ac446d17,5d2b5164,Nabeul Plage,2023-01-08 16:09:00,2023-01-08 17:11:00
87f42b0b,2a18a143,tunis lake,2023-08-20 08:27:00,2023-08-20 09:29:00
128ac795,485d4368,tunis lake,2022-04-30 06:45:00,2022-04-30 08:35:00
67cf37ca,4f3857fc,Sousse Corniche,2023-10-12 08:21:00,2023-10-12 10:16:00
9e8f4031,532081c5,Sousse Corniche,2023-04-12 10:45:00,2023-04-12 12:15:00
b3db717c,dee6b9e5,Sousse Corniche,2023-03-13 19:18:00,2023-03-13 20:41:00
7868b628,2f933a01,Sfax Center,2025-09-27 12:17:00,2025-09-27 12:47:00
d5eba416,df7b1b0e,Nabeul Plage,2022-11-27 18:59:00,2022-11-27 17:28:00
c65a9ad3,58003249,Tunis Lake,2022-09-16 19:08:00,2022-09-16 19:44:00
08ddb381,cd63ce71,Bizerte Port,2024-11-12 16:32:00,2024-11-12 17:17:00
9db32e84,0bbbfc36,Tunis Lake,2022-09-16 16:02:00,2022-09-16 18:00:00
77712c65,78801906,tunis lake,2022-11-10 08:52:00,2022-11-10 10:44:00
645b37dc,06672864,Sousse,2024-07-24 18:44:00,2024-07-24 20:23:00
85dda186,b94368af,Sfax_Center,2022-07-28 17:10:00,2022-07-28 17:48:00
3d8dfc6b,c9d3da61,tunis lake,2022-04-04 14:50:00,2022-04-04 16:13:00
4677ad9e,fe205945,Sousse,2024-09-21 08:11:00,2024-09-21 09:26:00
fcd7f7a4,cd1e06a4,Sousse,2023-05-20 13:45:00,2023-05-20 15:31:00
93d5e584,42b2fc72,Sousse Corniche,2023-08-02 06:50:00,2023-08-02 07:49:00
eb9305ac,4991f6d7,Nabeul,2024-04-13 10:26:00,2024-04-13 11:28:00
a077e34b,1fc13736,Bizerte Port,2024-10-25 18:50:00,2024-10-25 20:06:00
e688af15,028a5ec1,Sfax_Center,2024-04-20 11:38:00,2024-04-20 12:10:00
4cde46e8,8861fec4,Tunis Lake,2025-08-16 08:30:00,2025-08-16 09:00:00
4da79c08,824b4531,tunis lake,2023-02-14 06:24:00,2023-02-14 07:41:00
fe5fb6c3,97a9f51f,Sfax Center,2024-06-21 19:09:00,2024-06-21 20:24:00
0edbfbc1,a84100f0,Sfax Center,2022-05-30 19:05:00,2022-05-30 20:28:00
7a31b57a,41cc86a4,Nabeul Plage,2025-12-17 12:35:00,2025-12-17 13:16:00
55d996df,70858586,Nabeul Plage,2022-05-05 16:14:00,2022-05-05 17:26:30
62dbc579,fe773c65,Nabeul Plage,2023-11-22 09:28:00,2023-11-22 10:24:00
62bad9a3,fcc59557,tunis lake,2025-01-14 16:03:00,2025-01-14 16:57:00
09e0226a,3cc18c79,Sfax_Center,2022-07-23 07:51:00,2022-07-23 09:05:30
4fb231ba,23c9dcc9,Nabeul Plage,2023-09-24 11:02:00,2023-09-24 12:13:00
0bc744b6,afd5590d,tunis lake,2022-12-29 12:49:00,2022-12-29 14:06:00
078944e9,f35b9216,Sousse Corniche,2024-02-02 09:33:00,2024-02-02 10:41:00
05345008,86b3d4c8,Nabeul,2024-01-10 10:06:00,2024-01-10 10:45:00
de20b67a,c6727525,Nabeul Plage,2023-07-22 11:52:00,2023-07-22 13:29:00
744b493d,711fabf9,Sfax Center,2025-02-11 11:46:00,2025-02-11 12:53:00
e454fe94,c537e3db,Sousse Corniche,2022-08-10 08:25:00,2022-08-10 08:59:00
82ac7e8e,f51e5826,Sousse Corniche,2025-02-10 06:23:00,2025-02-10 08:07:00
e541f4c1,464fa587,Sousse,2024-03-19 19:22:00,2024-03-19 21:00:00
57a1ec46,eda4bda1,tunis lake,2024-10-29 18:21:00,2024-10-29 19:55:00
3c72209e,d62de34d,tunis lake,2022-09-07 11:04:00,2022-09-07 12:35:00
9c425717,0ac63ef2,Sfax_Center,2023-05-15 19:39:00,2023-05-15 21:11:00
5a118650,8012c754,Bizerte Port,2024-04-18 15:39:00,2024-04-18 17:05:00
359f5476,62a5f88a,tunis lake,2025-03-27 07:00:00,2025-03-27 08:00:00
fa7d8b38,8382b2e0,Tunis Lake,2024-11-10 09:42:00,2024-11-10 11:14:00
76fbd533,1dbbad37,tunis lake,2024-07-24 07:32:00,2024-07-24 09:17:00
1c433bf6,44c8014d,Sfax Center,2023-10-21 12:31:00,2023-10-21 13:47:00
92f74f30,c6727525,Nabeul Plage,2023-10-07 09:06:00,2023-10-07 09:51:00
b2c047b1,03d42852,Nabeul,2024-08-20 06:41:00,2024-08-20 07:20:00
58cd4188,430f4e9d,Bizerte Port,2023-04-18 18:56:00,2023-04-18 20:07:30
ad06497c,2f186767,tunis lake,2023-11-18 20:37:00,2023-11-18 22:37:00
18a79c09,fe773c65,Sfax Center,2024-10-27 20:23:00,2024-10-27 21:37:00
1496415e,90cfd131,Sfax Center,2025-02-07 14:37:00,2025-02-07 15:18:00
2c95bdb0,7cabf280,Tunis Lake,2025-03-16 06:09:00,2025-03-16 06:40:00
14dba562,f54396d8,Sfax_Center,2023-11-27 15:46:00,2023-11-27 16:45:00
f7c63a42,a201f2b1,Sousse,2024-03-04 07:28:00,2024-03-04 09:03:00
9e4a718c,f904ca11,tunis lake,2022-12-18 09:05:00,2022-12-18 09:45:00
f87947b3,1fd35ab1,Sfax Center,2022-11-03 11:09:00,2022-11-03 13:05:00
8c4e00d8,f9eb58e0,Nabeul Plage,2024-02-14 08:40:00,2024-02-14 09:16:00
4024e481,f29ce7d9,Sfax Center,2025-05-25 11:26:00,2025-05-25 12:41:00
7a946c75,dd1b7be4,Bizerte Port,2022-08-16 14:44:00,2022-08-16 16:16:00
b2e2980e,f4a34012,Nabeul,2023-02-23 07:05:00,2023-02-23 07:45:00
e4614ccc,592fff76,Tunis Lake,2023-03-16 19:57:00,2023-03-16 21:36:00
d67b4ded,cb1cd12e,tunis lake,2023-03-06 17:32:00,2023-03-06 18:56:00
b27e8bed,0af3e7ec,Sfax_Center,2025-05-12 14:13:00,2025-05-12 15:20:00
e673e3f6,df7b1b0e,tunis lake,2023-03-20 16:19:00,2023-03-20 18:05:00
bfb29224,6971d7b6,Sousse Corniche,2025-03-27 12:07:00,2025-03-27 12:53:00
465d2487,2afdc276,Sousse Corniche,2024-12-21 11:29:00,2024-12-21 13:16:00
11fcfe51,9eec6fb1,Tunis Lake,2024-12-15 18:51:00,2024-12-15 19:47:00
260e776e,191a4062,Nabeul,2024-11-04 21:09:00,2024-11-04 22:43:00
4018576a,8313eac1,Nabeul,2023-03-31 10:54:00,2023-03-31 12:03:00
ed4b89c6,26015136,Sfax_Center,2024-08-10 07:59:00,2024-08-10 09:15:00
9f3deb24,444501cd,Sfax_Center,2023-01-21 09:48:00,2023-01-21 11:40:00
4be98acb,e24f64a8,Nabeul,2023-04-03 12:36:00,2023-04-03 13:45:00
36ed52b1,bb3835b9,Tunis Lake,2025-01-07 09:01:00,2025-01-07 09:35:00
d890e67b,fb4f9c66,Sousse,2023-05-16 17:28:00,2023-05-16 18:57:00
9d4ad3ba,eccdfe3f,Tunis Lake,2022-07-15 07:23:00,2022-07-15 09:02:00
e76ac254,691a259d,Bizerte Port,2024-07-23 07:00:00,2024-07-23 08:44:00
3db49689,0ac63ef2,Tunis Lake,2022-12-09 18:23:00,2022-12-09 20:06:00
48202d8b,72449ccf,Sousse Corniche,2024-10-03 21:23:00,2024-10-03 22:45:00
90ed3e69,6413345c,tunis lake,2022-04-17 13:31:00,2022-04-17 14:12:00
96e11ad6,4471ab4d,Sfax_Center,2024-11-24 13:28:00,2024-11-24 14:33:00
24aff0ff,9a03a2db,Bizerte Port,2024-08-30 20:08:00,2024-08-30 21:41:00
728c3e25,dc18df08,Sousse Corniche,2024-06-27 10:46:00,2024-06-27 12:00:00
90e36b52,e25e435d,Sfax Center,2024-06-18 08:22:00,2024-06-18 10:11:00
fbaef1a5,eaf097ef,tunis lake,2022-10-16 17:18:00,2022-10-16 17:54:00
ece4f15d,1e7be14d,Sousse,2024-03-14 10:03:00,2024-03-14 11:18:00
6d21039a,dbed45f5,Sousse,2023-04-20 07:08:00,2023-04-20 08:20:00
1da3c253,ec519242,Nabeul Plage,2024-05-17 13:41:00,2024-05-17 15:37:00
bd890383,095aeb35,Nabeul,2022-10-07 19:46:00,2022-10-07 21:21:00
f2ef0462,4fa63f6c,Sousse,2024-07-03 10:26:00,2024-07-03 11:24:00
ab6177eb,81b3a775,tunis lake,2025-03-04 21:31:00,2025-03-04 23:31:00
91fd63f2,ce8f8365,Sousse,2023-04-18 07:22:00,2023-04-18 09:01:00
ae061ede,28d6a0f5,Bizerte Port,2025-08-17 13:51:00,2025-08-17 15:25:00
74f18e2b,561c2d65,Bizerte Port,2025-01-09 16:18:00,2025-01-09 18:04:00
200b1adb,c8001789,Sousse Corniche,2023-03-31 07:43:00,2023-03-31 08:20:00
d05f4f72,26e8e627,Tunis Lake,2025-07-03 06:06:00,2025-07-03 07:33:00
cc56f992,3d7b60d5,Sfax Center,2024-11-30 15:25:00,2024-11-30 17:24:00
